"VendorID","passenger_count","trip_distance_miles","pickup_longitude","pickup_latitude","RatecodeID","dropoff_longitude","dropoff_latitude","payment_type","total_amount","pickup_hour","pickup_timeOfDay","trip_distance","speed","trip_duration","temp","hum","vis","cond","fog","rain","gasprice","weekday"
"VeriFone Inc.",2,0.77,-73.9827270507813,40.7613487243652,"Standard rate",-73.9739074707031,40.757381439209,"Cash",6.8,23,"evening",1.2391918,7.53260869565217,368,1.7,52,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,9.1,-73.8625259399414,40.7691612243652,"Standard rate",-73.9887161254883,40.7478256225586,"Credit card",44.34,10,"morning",14.644994,15.6446991404011,2094,22.2,61,16,"Scattered Clouds",0,0,1.297,"Montag"
"Creative Mobile Technologies, LLC",1,0.7,-73.9630355834961,40.7991676330566,"Standard rate",-73.9703216552734,40.7888908386231,"Cash",5.3,17,"afternoon",1.126538,17.3793103448276,145,3.3,48,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,8.8,-73.9883575439453,40.7185134887695,"Standard rate",-73.9161529541016,40.7742767333984,"Credit card",32.25,22,"evening",14.162192,41.4659685863874,764,9.4,74,16,"Overcast",0,0,1.297,"Sonntag"
"VeriFone Inc.",5,0.8,-73.9854354858399,40.757022857666,"Standard rate",-73.9739151000977,40.7553863525391,"Cash",6.8,21,"evening",1.287472,8.04469273743017,358,20.6,63,16,"Scattered Clouds",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",1,0.3,-73.9878234863281,40.7480850219727,"Standard rate",-73.9822998046875,40.745792388916,"Cash",5.3,15,"afternoon",0.482802,4.48132780082988,241,27.8,33,12,"Partly Cloudy",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",2,0.8,-73.9788589477539,40.750171661377,"Standard rate",-73.9816513061524,40.7583885192871,"Credit card",8.3,17,"afternoon",1.287472,4.78405315614618,602,11.1,47,16,"Overcast",0,0,1.297,"Samstag"
"VeriFone Inc.",1,1.49,-73.9750213623047,40.7585105895996,"Standard rate",-73.9605331420898,40.7756042480469,"Credit card",11.76,10,"morning",2.3979166,7.9702823179792,673,25,36,14,"Clear",0,0,1.167,"Mittwoch"
"Creative Mobile Technologies, LLC",2,4.3,-74.0054779052734,40.7150726318359,"Standard rate",-73.994026184082,40.7573394775391,"Cash",17.3,17,"afternoon",6.920162,14.0090497737557,1105,11.1,43,16,"Overcast",0,0,1.297,"Samstag"
"VeriFone Inc.",1,0.83,-73.9824600219727,40.7727317810059,"Standard rate",-73.9779281616211,40.7653198242188,"Cash",6.3,22,"evening",1.3357522,12.9350649350649,231,8.3,41,16,"Clear",0,0,1.297,"Samstag"
"Creative Mobile Technologies, LLC",1,4.9,-74.0066680908203,40.7136764526367,"Standard rate",-73.9562911987305,40.6673927307129,"Cash",21.3,17,"afternoon",7.885766,10.4812834224599,1683,7.2,56,16,"Mostly Cloudy",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,1.1,-73.9730758666992,40.7612152099609,"Standard rate",-73.9620056152344,40.7766075134277,"Cash",8.3,14,"afternoon",1.770274,7.12230215827338,556,25.6,76,12,"Mostly Cloudy",0,0,1.133,"Donnerstag"
"VeriFone Inc.",1,1.23,-73.9970703125,40.722110748291,"Standard rate",-73.9797134399414,40.7139015197754,"Cash",7.8,14,"afternoon",1.9794882,9.3615221987315,473,27.8,33,12,"Partly Cloudy",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,20.9,-73.7819137573242,40.6447906494141,"JFK",-73.9765319824219,40.7832641601563,"Credit card",63.34,1,"night",33.635206,35.3239436619718,2130,18.3,75,16,"Overcast",0,0,1.297,"Montag"
"VeriFone Inc.",6,11.21,-73.989143371582,40.7576408386231,"Standard rate",-73.871711730957,40.7744483947754,"Credit card",46.61,5,"night",18.0407014,33.8273260687343,1193,21.1,90,16,"Overcast",0,0,1.133,"Freitag"
"Creative Mobile Technologies, LLC",1,2.3,-74.010009765625,40.7048416137695,"Standard rate",-73.9961318969727,40.7261428833008,"Cash",10.3,11,"morning",3.701482,13.485342019544,614,8.3,27,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,3.4,-73.9831619262695,40.7386360168457,"Standard rate",-73.9489593505859,40.7699584960938,"Credit card",16.3,0,"night",5.471756,16.2334217506631,754,10,59,16,"Clear",0,0,1.284,"Freitag"
"VeriFone Inc.",5,7.15,-74.0078125,40.7151908874512,"Standard rate",-73.9264831542969,40.7620010375977,"Credit card",34.56,20,"evening",11.506781,12.0336605890603,2139,8.3,90,4,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",1,2.2,-73.9813995361328,40.7788352966309,"Standard rate",-73.9594802856445,40.801399230957,"Credit card",10.3,0,"night",3.540548,20.5714285714286,385,23.3,62,16,"Clear",0,0,1.155,"Mittwoch"
"VeriFone Inc.",1,1.71,-73.9803466796875,40.7386627197266,"Standard rate",-73.9646987915039,40.755802154541,"Credit card",10.79,23,"evening",2.7519714,20.3841059602649,302,19.4,61,14,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,3.8,-73.9620742797852,40.7595291137695,"Standard rate",-73.997200012207,40.7470321655273,"Cash",16.8,14,"afternoon",6.115492,13.0783938814532,1046,8.9,39,16,"Clear",0,0,1.297,"Sonntag"
"VeriFone Inc.",1,2.26,-73.9704895019531,40.754020690918,"Standard rate",-73.9704895019531,40.754020690918,"Credit card",13.3,10,"morning",3.6371084,8.79567567567568,925,9,82,8,"Light Rain",0,1,1.264,"Dienstag"
"VeriFone Inc.",3,0.97,-73.9910583496094,40.7349166870117,"Standard rate",-73.9856567382813,40.726993560791,"Cash",8.3,20,"evening",1.5610598,7.54211663066955,463,20.6,65,16,"Overcast",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",1,0.8,-73.9955139160156,40.7492370605469,"Standard rate",-73.9875564575195,40.7603416442871,"Cash",8.3,20,"evening",1.287472,5.64705882352941,510,2.2,50,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,2.1,-73.9556884765625,40.7684288024902,"Standard rate",-73.982666015625,40.7772636413574,"Credit card",12.95,2,"night",3.379614,12.967409948542,583,5,53,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,1.4,-73.9886856079102,40.7323799133301,"Standard rate",-73.9732818603516,40.7438354492188,"Cash",9.3,17,"afternoon",2.253076,10.7692307692308,468,25.6,45,16,"Partly Cloudy",0,0,1.264,"Montag"
"VeriFone Inc.",1,5.02,-73.9767913818359,40.726921081543,"Standard rate",-73.9465713500977,40.7547798156738,"Cash",19.8,23,"evening",8.0788868,14.997510373444,1205,1.7,46,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,0.6,-73.9730224609375,40.7932472229004,"Standard rate",-73.9795532226563,40.7865333557129,"Cash",6.3,17,"afternoon",0.965604,9.95391705069124,217,25.6,43,12,"Clear",0,0,1.155,"Mittwoch"
"VeriFone Inc.",1,5.21,-73.9518203735352,40.773609161377,"Standard rate",-73.9873504638672,40.7221488952637,"Credit card",22.25,12,"morning",8.3846614,27.1826086956522,690,9.4,29,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,1.1,-73.9684219360352,40.7592811584473,"Standard rate",-73.9872589111328,40.7657279968262,"Cash",6.8,1,"night",1.770274,12.1100917431193,327,21.7,90,4,"Light Rain",0,1,1.133,"Freitag"
"VeriFone Inc.",1,2.92,-73.9792556762695,40.7666778564453,"Standard rate",-73.9907989501953,40.7330322265625,"Credit card",12.8,3,"night",4.6992728,14.5394190871369,723,5,55,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,0.8,-73.9814300537109,40.778621673584,"Standard rate",-73.9807586669922,40.7706985473633,"Cash",6.3,9,"morning",1.287472,9.86301369863014,292,8.3,86,8,"Light Rain",0,1,1.264,"Dienstag"
"VeriFone Inc.",1,4.89,-74.0027923583984,40.7258796691895,"Standard rate",-73.9545593261719,40.6863784790039,"Cash",18.3,0,"night",7.8696726,18.318418314256,961,10,59,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,1.1,-73.9741821289063,40.7596015930176,"Standard rate",-73.9606170654297,40.7631607055664,"Credit card",9.3,16,"afternoon",1.770274,10.531914893617,376,7.2,49,16,"Partly Cloudy",0,0,1.297,"Sonntag"
"VeriFone Inc.",1,17.26,-73.9545211791992,40.8056716918945,"Standard rate",-73.98291015625,40.6658706665039,"Credit card",68.55,22,"evening",27.7772084,33.1392,1875,19.4,93,12,"Scattered Clouds",0,0,1.133,"Donnerstag"
"VeriFone Inc.",5,0.61,-73.9879837036133,40.7323417663574,"Standard rate",-73.9888229370117,40.7368354797363,"Credit card",6.96,0,"night",0.9816974,10.1666666666667,216,21.7,93,8,"Light Rain",0,1,1.133,"Donnerstag"
"Creative Mobile Technologies, LLC",1,0.6,-73.9861068725586,40.7625923156738,"Standard rate",-73.9934158325195,40.7669906616211,"Credit card",7.25,21,"evening",0.965604,10.3846153846154,208,8.9,68,16,"Mostly Cloudy",0,0,1.297,"Sonntag"
"VeriFone Inc.",1,3.49,-73.9946823120117,40.7543106079102,"Standard rate",-73.9889297485352,40.718635559082,"Cash",15.3,19,"evening",5.6165966,12.0114722753346,1046,7.8,66,16,"Overcast",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,17.9,-73.7828674316406,40.6445617675781,"JFK",-73.9860153198242,40.7577056884766,"Credit card",69.99,15,"afternoon",28.807186,21.1834319526627,3042,27.8,33,12,"Partly Cloudy",0,0,1.155,"Mittwoch"
"VeriFone Inc.",1,1,-73.9623870849609,40.7604866027832,"Standard rate",-73.9744186401367,40.7648429870606,"Cash",7.8,1,"night",1.60934,8.29493087557604,434,23.3,62,16,"Clear",0,0,1.155,"Donnerstag"
"VeriFone Inc.",1,0.85,-73.9528732299805,40.7763061523438,"Standard rate",-73.9551086425781,40.7676734924316,"Cash",6.8,16,"afternoon",1.367939,11.8604651162791,258,25.6,45,16,"Partly Cloudy",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",1,16.2,-73.7824325561524,40.6441955566406,"Standard rate",-73.9581756591797,40.6536712646484,"Cash",45.8,21,"evening",26.071308,35.6479217603912,1636,21.1,53,14,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,0.8,-74.0017166137695,40.7306365966797,"Standard rate",-73.9946746826172,40.7402610778809,"Credit card",6.95,8,"morning",1.287472,13.2110091743119,218,8.9,77,9,"Light Rain",0,1,1.264,"Dienstag"
"VeriFone Inc.",1,1.98,0,0,"Standard rate",0,0,"Credit card",12.96,15,"afternoon",3.1864932,10.1974248927039,699,8.3,41,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,1.5,-73.9825210571289,40.7622833251953,"Standard rate",-73.9792861938477,40.7462692260742,"Credit card",13,11,"morning",2.41401,6.42092746730083,841,26.1,34,12,"Clear",0,0,1.167,"Mittwoch"
"Creative Mobile Technologies, LLC",2,2.4,-73.9766616821289,40.7597389221191,"Standard rate",-73.9482650756836,40.773120880127,"Cash",10.3,20,"evening",3.862416,15.4838709677419,558,20.6,65,16,"Overcast",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",1,2.5,-73.982551574707,40.7610015869141,"Standard rate",-74.0076293945313,40.7429542541504,"Credit card",15.95,19,"evening",4.02335,10.0111234705228,899,24.4,46,12,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,4.2,-73.9918365478516,40.7494773864746,"Negotiated fare",-74.0444030761719,40.7348670959473,"Cash",62.8,18,"afternoon",6.759228,11.4980988593156,1315,7.2,56,16,"Mostly Cloudy",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,0.4,-73.9677047729492,40.7601509094238,"Standard rate",-73.9639587402344,40.7652130126953,"Cash",5.3,18,"afternoon",0.643736,17.5609756097561,82,8.9,89,6,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",1,0.3,-73.9693984985352,40.7533760070801,"Standard rate",-73.9733123779297,40.7495346069336,"Cash",4.8,20,"evening",0.482802,9.81818181818182,110,7.2,90,9,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",1,2.8,-73.9876480102539,40.7706871032715,"Standard rate",-73.9921493530274,40.7437744140625,"Credit card",12.8,18,"afternoon",4.506152,15.3658536585366,656,7.2,60,16,"Mostly Cloudy",0,0,1.297,"Sonntag"
"VeriFone Inc.",2,0.56,-73.9835052490234,40.7556076049805,"Standard rate",-73.9903717041016,40.7600631713867,"Credit card",7.88,17,"afternoon",0.9012304,8.50632911392405,237,25,45,16,"Partly Cloudy",0,0,1.264,"Montag"
"VeriFone Inc.",2,9.61,-73.9727096557617,40.7857208251953,"Standard rate",-73.872428894043,40.7743606567383,"Credit card",44.84,14,"afternoon",15.4657574,18.4906467129877,1871,8.9,83,16,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",1,1.4,-73.9651489257813,40.7552757263184,"Standard rate",-73.9574203491211,40.7725257873535,"Cash",7.8,2,"night",2.253076,14.2776203966006,353,5,55,16,"Overcast",0,0,1.284,"Freitag"
"VeriFone Inc.",1,0.92,-73.954231262207,40.7814826965332,"Standard rate",-73.9567337036133,40.7715759277344,"Credit card",7.3,17,"afternoon",1.4805928,12.9375,256,11.1,43,16,"Overcast",0,0,1.297,"Samstag"
"VeriFone Inc.",1,2.16,-73.9849319458008,40.7444686889648,"Standard rate",-73.9656753540039,40.7715721130371,"Credit card",12.96,21,"evening",3.4761744,11.7818181818182,660,21.7,51,14,"Clear",0,0,1.155,"Mittwoch"
"VeriFone Inc.",5,1.67,-73.9962692260742,40.7434310913086,"Standard rate",-73.9858322143555,40.7625694274902,"Credit card",11.76,0,"night",2.6875978,11.4079696394687,527,21.7,93,8,"Light Rain",0,1,1.133,"Donnerstag"
"Creative Mobile Technologies, LLC",1,1.3,-74.0013580322266,40.7466163635254,"Standard rate",-73.9928512573242,40.7631568908691,"Credit card",7.8,1,"night",2.092142,16.421052631579,285,8.9,44,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,0.7,0,0,"Standard rate",0,0,"Cash",5.8,21,"evening",1.126538,13.475935828877,187,21.7,51,14,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",2,1.7,-74.016242980957,40.7110481262207,"Standard rate",-74.0032119750977,40.7239303588867,"Credit card",11,11,"morning",2.735878,13.9407744874715,439,22.2,61,16,"Scattered Clouds",0,0,1.297,"Montag"
"VeriFone Inc.",1,2.52,-73.9940490722656,40.7512397766113,"Standard rate",-73.9687271118164,40.7561111450195,"Credit card",15.8,14,"afternoon",4.0555368,5.40643623361144,1678,8.9,80,16,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",4,1.7,-73.9947052001953,40.7592124938965,"Standard rate",-73.9988861083984,40.7446899414063,"Credit card",11.15,1,"night",2.735878,12.0472440944882,508,5,53,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,3.4,-73.9756164550781,40.7818031311035,"Standard rate",-73.9892196655273,40.7409439086914,"Credit card",13.8,8,"morning",5.471756,21.2131715771231,577,10.6,56,16,"Mostly Cloudy",0,0,1.284,"Samstag"
"VeriFone Inc.",1,1.88,-73.9781799316406,40.7295570373535,"Standard rate",-73.9778594970703,40.750358581543,"Credit card",11.16,5,"night",3.0255592,15.0066518847007,451,4.4,58,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,5.1,-74.0079727172852,40.7104759216309,"Standard rate",-73.9762115478516,40.7523574829102,"Cash",19.3,13,"afternoon",8.207634,19.6153846153846,936,26.7,35,12,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",2,4.2,-73.9598541259766,40.7140350341797,"Standard rate",-73.8942031860352,40.702075958252,"Cash",16.3,23,"evening",6.759228,15.8990536277603,951,21,49,16,"Mostly Cloudy",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",2,1.4,-73.9598541259766,40.7797660827637,"Standard rate",-73.9795303344727,40.7847785949707,"Credit card",9.8,15,"afternoon",2.253076,10.9327548806941,461,8.3,41,16,"Clear",0,0,1.297,"Sonntag"
